template_id,platform,content_type,target_role,goal,category,title,hook,body_template,cta,hashtags,compliance_note,source_basis,approval_status
SCT011,WhatsApp,Medical Safety Reply,Distributor,Compliance,Health Safety,When customer asks cure/treatment question,I cannot guide you on treatment or cure.,"Dayjoy products are for general wellness/product use as per official information. For any disease, treatment, medicine, or dosage concern, please consult a qualified healthcare professional.",I can share general product details if you want.,#Dayjoy #Wellness,Mandatory response for medical/cure claims.,Dayjoy wellness positioning; safety compliance requirement,public_data_needs_company_verification
SCT012,WhatsApp,Income Disclaimer Reply,Distributor,Compliance,Business Opportunity,When prospect asks guaranteed income,There is no guaranteed income in direct selling.,"Income depends on product sales, effort, customer service, learning, and compliance. I can explain Dayjoy’s business model generally, but I cannot promise fixed earnings.",Would you like to understand the business model responsibly?,#Dayjoy #DirectSelling,Mandatory response for income guarantee questions.,Dayjoy direct-selling and income disclaimer/public compliance context,public_data_needs_company_verification
SCT013,Instagram/Facebook,Home Care Category Post,Distributor,Product category education,Home Care,Home care awareness post,A cleaner home starts with informed product choices.,"Introduce Dayjoy Home Care category in simple words. Explain that users should check product label, usage instructions, and safety precautions before using any home care product.",Ask for product-wise details.,#Dayjoy #HomeCare #LifestyleProducts,Avoid chemical/safety claims unless officially approved.,Dayjoy official category listing includes Home Care,public_data_needs_company_verification
SCT014,Instagram/Facebook,Food Products Category Post,Distributor,Product category education,Food Products,Food category awareness,Daily choices become better when we understand what we consume.,"Introduce Dayjoy Food Products category. Mention that customers should check ingredients, label, storage, and usage guidance before buying.",Ask for product details.,#Dayjoy #FoodProducts #Lifestyle,Do not claim disease benefits from food products unless approved.,Dayjoy official category listing includes Food Products,public_data_needs_company_verification
SCT015,Instagram/Facebook,New Distributor Post,Distributor,Onboarding,Training,New distributor learning checklist,"New to Dayjoy? Start with learning, not selling.",Checklist: 1) Learn company profile. 2) Learn product categories. 3) Understand safety rules. 4) Practice simple explanations. 5) Follow up respectfully.,Save this checklist.,#Dayjoy #NewDistributor #Training #DirectSelling,No income guarantee or unrealistic business promise.,Dayjoy business/training/download ecosystem,public_data_needs_company_verification
SCT016,WhatsApp,Product Details Request,Distributor,Product education,Customer Support,Ask customer before suggesting product,"To suggest the right category, I need your general requirement.","Please share your general need: health wellness, skin care, personal care, home care, food product, or agriculture. I will share Dayjoy category/product information based on official data.",Reply with your category.,#Dayjoy,Do not ask for detailed medical history or sensitive personal data.,Dayjoy categories and compliance-safe product guidance,public_data_needs_company_verification
SCT017,Instagram/Facebook,AI Assistant Launch Post,Admin/Company,Product launch,Dayjoy GPT,Dayjoy AI Assistant launch teaser,"Dayjoy knowledge, now easier to access.","Dayjoy AI Assistant helps users explore product categories, FAQs, distributor training, and safe product information from approved Dayjoy knowledge.",Try the assistant/demo.,#DayjoyAI #Dayjoy #AIForBusiness #DigitalTransformation,Use only after company approval. Avoid calling it official until approved.,Project concept based on company GPT/enterprise assistant use case,draft_needs_company_approval
SCT018,LinkedIn,Professional Post,Company/Admin,B2B credibility,AI Transformation,Company GPT positioning post,"A private company GPT can make product knowledge faster, safer, and more consistent.","Dayjoy AI Assistant is designed to centralize product knowledge, distributor training, FAQs, compliance rules, and customer support into one AI-powered assistant.",Connect to discuss the demo.,#AI #EnterpriseAI #DirectSelling #KnowledgeManagement,Do not disclose internal data publicly. Avoid official claims before approval.,Enterprise GPT best practices applied to Dayjoy use case,draft_needs_company_approval
SCT019,Instagram/Facebook,Customer Education Post,Distributor,Customer awareness,Safe Usage,Read the label first,Smart customers read product labels.,"Before using any product, check the official product label, usage instructions, ingredients, and safety notes. Ask an authorized distributor for verified information.",Ask for official product details.,#Dayjoy #SmartCustomer #ProductEducation,Do not replace professional advice or official label instructions.,General product safety and Dayjoy product education need,public_data_needs_company_verification
SCT020,WhatsApp,Hinglish Follow-up,Distributor,Customer follow-up,Hinglish,Hinglish customer follow-up,"Hi [Name], aapka Dayjoy product query follow up kar raha hoon.","Aapne [category/product] ke baare mein poocha tha. Main aapko official product details, benefits aur usage bata sakta hoon. Medical concern ho to doctor se consult karna best rahega.",Kya main details share karun?,#Dayjoy,Keep Hinglish simple and compliant. No cure/income claims.,India-focused multilingual distributor communication need,public_data_needs_company_verification
SCT021,Instagram/Facebook,Motivational Post,Distributor,Consistency,Mindset,Consistency post,Small daily actions build long-term trust.,"Learn one product, speak to one customer, follow up respectfully, and improve your explanation daily. Ethical consistency matters more than pressure selling.",Save and follow this routine.,#Dayjoy #Consistency #DistributorMindset,Motivation must not include income guarantee or rank promise.,Dayjoy direct-selling/training culture and public blog themes,public_data_needs_company_verification
SCT022,WhatsApp,Support Handoff,All Roles,Human support,Support,When AI/user needs human help,This query may need official support.,"For official confirmation, please contact Dayjoy support through the official website/contact channels. I can share general information, but final confirmation should come from authorized Dayjoy support.",Would you like official contact details?,#DayjoySupport,"Use when information is missing, policy-related, complaint-related, or sensitive.",Dayjoy contact page and support channels,public_data_needs_company_verification
SCT023,Instagram/Facebook,FAQ Post,Distributor,FAQ education,Company FAQ,Common question: Are Dayjoy products medicines?,Dayjoy products should be explained responsibly.,"Dayjoy product information should be shared as per approved product details. For any disease, treatment, or medicine question, users should consult a qualified professional.",Ask for safe product information.,#Dayjoy #FAQ #WellnessEducation,Do not give medical advice. Do not call products medicine unless officially classified.,Compliance-safe FAQ requirement for wellness products,public_data_needs_company_verification
SCT024,Instagram/Facebook,Product Comparison Template,Distributor,Product education,Comparison,Compare two Dayjoy products,Choosing between two products? Compare responsibly.,"Compare [Product A] and [Product B] by category, intended use, benefits, usage instructions, and safety notes. Do not say one is best for everyone.",Share the product names you want to compare.,#Dayjoy #ProductComparison,Avoid superiority claims unless official data supports it.,AI product discovery and comparison feature design,draft_needs_company_approval
SCT025,YouTube/Reel,Training Script,Distributor,Product explanation,Communication,3-step product explanation method,Use this simple method: Need → Product → Safety.,Step 1: Understand customer need. Step 2: Share Dayjoy product/category info. Step 3: Explain label usage and safety note. This keeps your conversation professional.,Practice this before your next call.,#Dayjoy #SalesTraining #ProductEducation,"No treatment claims, no guaranteed results.",Direct-selling training best practices aligned with Dayjoy context,public_data_needs_company_verification
