faq_id,question,answer,category,role_access,intent_tags,safe_ai_response_note,source,source_url,approval_status
FAQ011,How should Dayjoy AI Assistant answer product questions?,"It should answer using product name, category, known benefits, usage based on the product label or approved data, safety note, and source. If data is missing, it should say verified information is not available.",AI App,"employee,admin","answer format, product response, ai rules",Always prefer verified product data over generated assumptions.,Project AI response design,https://www.dayjoy.in/Shop/Shop/HEALTH-CARE/4,demo_project_content
FAQ012,How can a customer use Dayjoy AI Assistant?,"A customer can ask about Dayjoy products, categories, general wellness-related product information, usage guidance from approved data, and company support information.",Customer Help,"customer,employee,admin","customer, how to use, product help",Keep response simple and avoid medical claims.,Project design based on Dayjoy product/customer support use case,https://www.dayjoy.in/Contact,demo_project_content
FAQ013,How can a distributor use Dayjoy AI Assistant?,"A distributor can use it for product explanations, ethical sales scripts, customer follow-up messages, objection handling, training support, and safe communication guidance.",Distributor Help,"distributor,employee,admin","distributor, sales script, follow up, training",Do not create pressure selling or income guarantee content.,Dayjoy direct selling/training positioning and project design,https://www.dayjoy.in/Downloads,demo_project_content
FAQ014,What should a distributor say if a customer asks for disease treatment?,"The distributor should politely say that Dayjoy products are for general wellness/product use and are not a replacement for medical advice. For disease or treatment concerns, the customer should consult a qualified professional.",Distributor Compliance,"distributor,employee,admin","medical objection, treatment, disease question",Use this as a standard safety script.,Project safety rule for health-product discussions,https://www.dayjoy.in/,demo_policy_needs_company_legal_approval
FAQ015,What should the AI do if it does not know an answer?,"It should clearly say that verified Dayjoy information is not available in the current knowledge base, then suggest checking official Dayjoy resources or contacting support.",AI Safety,all,"unknown answer, no data, hallucination",This prevents hallucination and builds trust.,Project AI safety rule,https://www.dayjoy.in/Contact,demo_project_content
FAQ016,Should Dayjoy AI Assistant answer from random internet data?,"No. It should prioritize official Dayjoy website pages, product catalogues, approved PDFs, company policies, and admin-approved knowledge. Random sources should not be used for final answers.",AI Safety,"employee,admin","sources, knowledge base, verified data",Use source hierarchy in app design.,Project knowledge-base governance rule,https://www.dayjoy.in/,demo_project_content
FAQ017,What is the source priority for Dayjoy AI Assistant?,"Source priority should be: official Dayjoy website/product pages first, official company documents/PDFs second, official social media/app listings third, and public third-party data only as unverified reference.",AI Governance,"employee,admin","source priority, verification, governance",Mark third-party data as needs verification.,Project research workflow,https://www.dayjoy.in/,demo_project_content
FAQ018,"Can Dayjoy AI Assistant help with refunds, shipping, and policies?","Yes, but only if official policy content is uploaded or linked in the knowledge base. Dayjoy website footer references policy pages such as refund, privacy, shipping, income disclaimer, code of conduct, and grievance mechanism.",Policies,"customer,distributor,employee,admin","refund, shipping, privacy, policy, grievance",Do not invent policy details; ask admin to upload official policy text.,Dayjoy official product page footer/policy links,https://www.dayjoy.in/Product/ProductDetails/Liv-Ease-%28500ml%29/497,public_data_needs_company_verification
FAQ019,What should be shown in every health-related answer?,"Every health-related answer should include a safety note such as: This is general wellness/product information, not medical advice. Please consult a qualified professional for medical concerns.",Safety,all,"health disclaimer, wellness disclaimer, safety note",Mandatory disclaimer for health-related output.,Project health safety requirement,https://www.dayjoy.in/Shop/Shop/HEALTH-CARE/4,demo_policy_needs_company_legal_approval
FAQ020,What should be shown in every business/income-related answer?,"Every income-related answer should say that results are not guaranteed and depend on effort, learning, consistency, product demand, customer trust, and company rules.",Compliance,"distributor,employee,admin","income disclaimer, business opportunity, earnings",Mandatory disclaimer for income/business-plan questions.,Project direct-selling compliance requirement,https://www.dayjoy.in/Downloads,demo_policy_needs_company_legal_approval
FAQ021,What is the recommended AI answer format?,"Use this format: short understanding, relevant category, answer from approved data, product or policy details if available, safety note, and source used.",AI App,"employee,admin","response format, ai output, source",Keep answers short and structured.,Project AI output design,https://www.dayjoy.in/,demo_project_content
FAQ022,Can the AI compare two Dayjoy products?,"Yes, if both products exist in the approved product database. The AI should compare category, use case, benefits, usage, and safety note without exaggerating.",Products,"customer,distributor,employee,admin","compare products, product difference, product selection",Compare only approved product fields.,Project product assistant feature,https://www.dayjoy.in/Shop/Shop/HEALTH-CARE/4,demo_project_content
FAQ023,Can the AI suggest product combos?,"The AI can suggest related products only if combo information is present in approved company data. Otherwise, it should avoid making combo recommendations.",Products,"customer,distributor,employee,admin","combo, related products, recommendation",Do not invent combinations.,Project recommendation safety rule,https://www.dayjoy.in/Shop/Shop/COMBO-PACKAGE/16,demo_project_content
FAQ024,Can Dayjoy AI Assistant generate social media content for distributors?,"Yes. It can generate ethical product education posts, captions, follow-up messages, and awareness content using approved product data. It must avoid medical cure claims and income guarantees.",Distributor Help,"distributor,employee,admin","social media, captions, content, distributor",Content must follow social media and product-claim safety rules.,Dayjoy blog/social-media direct-selling context and project feature,https://www.dayjoy.in/Blog/BlogDetails/Prospecting-On-Social-Media-What-you-Must-Know-Before-Trying/69,demo_project_content
FAQ025,Can Dayjoy AI Assistant help train new distributors?,"Yes. It can provide structured onboarding, product learning, communication practice, objection handling, daily activity plans, and compliance reminders.",Distributor Training,"distributor,employee,admin","training, onboarding, distributor learning",Training must remain ethical and avoid exaggerated success promises.,Dayjoy direct-selling training positioning and project feature,https://www.dayjoy.in/Downloads,demo_project_content
FAQ026,What admin features are needed for Dayjoy AI Assistant?,"Admin should be able to add/edit products, upload FAQs and training data, review unanswered queries, see analytics, approve knowledge, and manage safety rules.",Admin,"admin,employee","admin panel, dashboard, edit product, upload data",Admin features control accuracy and company trust.,Project admin dashboard design,https://www.dayjoy.in/,demo_project_content
FAQ027,What analytics should Dayjoy management see?,"Analytics should show total questions, most searched products, most asked categories, top customer problems, distributor doubts, unanswered questions, language preference, and unsafe query count.",Analytics,"admin,employee","analytics, dashboard, insights, questions",Do not collect unnecessary personal health data.,Project analytics dashboard design,https://www.dayjoy.in/,demo_project_content
FAQ028,Should the MVP include WhatsApp and mobile app?,"No. The first MVP should be a local web app with role-based chat, product search, safety rules, admin preview, and analytics. WhatsApp and mobile app can be added after the demo works.",Project Roadmap,"admin,employee","mvp, roadmap, whatsapp, mobile app",Keep first version focused and demo-ready.,Project roadmap decision,https://www.dayjoy.in/,demo_project_content
FAQ029,What should be the first version of Dayjoy AI Assistant?,"Version 1 should include role selection, language selection, Dayjoy product chat, product search, FAQ search, distributor mode, safety filter, admin preview, analytics log, and source-based responses.",Project Roadmap,"admin,employee","version 1, mvp, features",Build simple local MVP first.,Project roadmap decision,https://www.dayjoy.in/,demo_project_content
FAQ030,What makes Dayjoy AI Assistant different from ChatGPT?,"ChatGPT is a general AI trained for broad knowledge. Dayjoy AI Assistant should be a private company GPT that answers only from Dayjoy-approved company, product, training, policy, and support data.",AI App,all,"difference from chatgpt, company gpt, private gpt",Explain value clearly for pitch.,Project positioning based on enterprise GPT concept,https://www.dayjoy.in/,demo_project_content
