policy_id,policy_name,category,applies_to,summary,ai_rule,allowed_response,blocked_response,escalation,source,source_url,approval_status
POL011,Shipping Pickup Hours,Shipping / Pickup,"customers,distributors","Pickup hours listed: Monday-Friday 10:00 AM-6:00 PM, Saturday 10:00 AM-1:30 PM, Sunday closed; users should check website for latest updates.","For pickup timing, answer with listed hours and advise checking official website/outlet for updated timing.","Pickup timing is generally Monday-Friday 10 AM-6 PM and Saturday 10 AM-1:30 PM, Sunday closed, but confirm with the outlet.",Do not guarantee current outlet timings without live data.,Contact nearest outlet or Dayjoy support.,Dayjoy Shipping Policy,https://www.dayjoy.in/ShippingPolicy,public_data_needs_company_verification
POL012,Shipping Damage Reporting Window,Shipping / Delivery,"customers,distributors","Shipping discrepancies or hidden damage must be notified within 24 hours of receipt, otherwise it may be treated as accepted.","For damaged shipment queries, instruct user to notify Dayjoy immediately within policy timeline and keep proof/photos/invoice.",Please report shipping damage or discrepancy within the official time window and keep invoice/photos as proof.,Do not guarantee replacement/refund after policy window.,Contact customer support with order details and evidence.,Dayjoy Shipping Policy,https://www.dayjoy.in/ShippingPolicy,public_data_needs_company_verification
POL013,Average Delivery Time,Shipping / Delivery,"customers,distributors","Orders are typically shipped next business day and average delivery time is 2-7 days, depending on location and delivery partner policy.","For delivery estimates, provide a general range only and say actual delivery depends on location/order/serviceability.","Average delivery may take 2-7 days depending on location and logistics, but this is not a guaranteed timeline.",Do not guarantee exact delivery date without live tracking.,"For tracking, check official order panel or contact support.",Dayjoy Shipping Policy,https://www.dayjoy.in/ShippingPolicy,public_data_needs_company_verification
POL014,Privacy - Personal Data Collection,Privacy,"customers,distributors,website_users",Dayjoy privacy policy explains collection of domain/page visit info and volunteered information; email is not collected unless user contacts or volunteers it.,"For privacy questions, summarize official privacy policy and avoid exposing personal data.",Dayjoy collects information as described in its official Privacy Policy; please review it for full details.,Do not disclose user personal data or make unsupported privacy promises.,"For data/privacy concerns, contact Dayjoy support.",Dayjoy Privacy Policy,https://www.dayjoy.in/Privacypolicy,public_data_needs_company_verification
POL015,Privacy - Data Use and Sharing,Privacy,"customers,distributors,website_users","Dayjoy states it uses information to complete transactions, communicate, update users, personalize website experience, and does not sell/rent/lease personally identifiable information without permission or legal requirement.","When asked about data use, answer from official privacy policy and avoid collecting unnecessary sensitive info in chat.","Dayjoy's Privacy Policy describes using data for transactions, communication, service updates, and personalization.",Do not request sensitive payment/identity data in AI chat.,Direct privacy-specific requests to official support.,Dayjoy Privacy Policy,https://www.dayjoy.in/Privacypolicy,public_data_needs_company_verification
POL016,Income Disclaimer - No Guarantees,Income / Business Compliance,"distributors,prospects,admins","Dayjoy income disclaimer states earnings/income statements are estimates only, not guaranteed, examples are not promises, and business is not presented as a get-rich-quick scheme.",Always refuse guaranteed income claims; explain results depend on many factors and official income disclaimer applies.,"Income examples are not guarantees. Individual results vary and depend on effort, experience, market conditions, and other factors.",Do not say users will definitely earn a fixed amount or rank.,Refer to official Income Disclaimer and business plan.,Dayjoy Income Disclaimer PDF,https://www.dayjoy.in/MemberPanel/wp-content/uploads/2021/Income_Disclaimer_Dayjoy.pdf,public_data_needs_company_verification
POL017,Payment Gateway Methods and Security,Payment,"customers,distributors","Dayjoy payment gateway policy mentions PayU and Razorpay as payment gateway partners and payments through debit card, credit card, UPI, and net banking, with security methods like encryption, SSL, SET, and tokenization.","For payment questions, provide general payment options and advise using official Dayjoy website/app only.",Use only official Dayjoy website/app payment options. Payment security is handled by approved payment gateways.,Do not ask users to share card/UPI PIN/OTP in chat.,Payment failure queries should go to official support/payment gateway support.,Dayjoy Payment Gateway Policy PDF,https://www.dayjoy.in/MemberPanel/wp-content/uploads/2021/PaymentGatewayPolicy_Dayjoy.pdf,public_data_needs_company_verification
POL018,Code of Conduct - Distributor Definitions and Responsibilities,Code of Conduct,"distributors,prime_customers,admins","Code of Conduct defines Dayjoy, Dayjoy Business, Prime Customer, Distributor, Business Plan, and establishes principles for distributor rights, duties, and responsibilities.","For distributor behavior questions, base answers on Code of Conduct and avoid unofficial business shortcuts.","Distributors should follow the official Code of Conduct, business plan, and company-approved practices.",Do not provide advice that violates distributor responsibilities or misrepresents status.,Refer to compliance/admin team for conduct issues.,Dayjoy Code of Conduct PDF,https://www.dayjoy.in/MemberPanel/wp-content/uploads/2021/Code_of_Conduct_Dayjoy.pdf,public_data_needs_company_verification
POL019,Social Media Policy - Accurate Representation,Social Media / Brand Compliance,"distributors,content_creators","Direct sellers/distributors may promote on social media but should use professional judgment, include disclaimers for personal views, represent relationship accurately, and not claim to be employee/agent unless true.","For social posts and captions, include compliance-safe language and avoid unauthorized representation.",Represent yourself accurately as a Dayjoy distributor/direct seller and avoid making unsupported company claims.,Do not create posts that imply official company employment/agency if user is only a distributor.,Ask company social media/compliance team for approval of high-risk content.,Dayjoy Social Media Policy PDF,https://www.dayjoy.in/MemberPanel/wp-content/uploads/2021/Social_Media_Policy_Dayjoy.pdf,public_data_needs_company_verification
POL020,Social Media Policy - Trademark and Brand Restrictions,Social Media / IP,"distributors,content_creators",Social media policy restricts use of company trademarks/brands in usernames/handles and domain/email names without proper authorization.,"When suggesting usernames/pages, avoid names that misuse Dayjoy trademarks; suggest independent distributor branding with clear disclaimer.",Use personal branding and clear distributor identity; avoid unauthorized trademark use in handles/domains.,Do not suggest usernames/domains that look like official Dayjoy company accounts.,Seek official approval for any brand/logo use.,Dayjoy Social Media Policy PDF,https://www.dayjoy.in/MemberPanel/wp-content/uploads/2021/Social_Media_Policy_Dayjoy.pdf,public_data_needs_company_verification
POL021,Grievance Redressal Objective,Grievance / Support,"customers,distributors","Grievance Redressal Policy sets procedures for receiving, handling, and responding to grievances and aims for fair and equal treatment without bias.","For complaint queries, guide user to official grievance channels and collect only basic issue details, not sensitive data.",You can raise a grievance through official Dayjoy grievance channels for fair handling and response.,Do not promise resolution outcome or timeline unless official policy provides it.,Escalate to grievance redressal contact/GMS/support.,Dayjoy Grievance Redressal Policy PDF,https://www.dayjoy.in/MemberPanel/UploadedFiles/SiteDownloads/Dayjoy_Grievance_Redressal_Policy.pdf,public_data_needs_company_verification
POL022,Grievance Raising Channels,Grievance / Support,"customers,distributors","The grievance policy lists phone, email, letter to Kota office, and Grievance Management System as complaint modes.","When users want to complain, provide official grievance channels and ask them to keep order/member details ready.",Please raise your grievance through Dayjoy's official phone/email/GMS/letter channels and keep your invoice/member details ready.,Do not collect confidential credentials or payment OTPs in chat.,Direct to grievance redressal officer/support team.,Dayjoy Grievance Redressal Policy PDF,https://www.dayjoy.in/MemberPanel/UploadedFiles/SiteDownloads/Dayjoy_Grievance_Redressal_Policy.pdf,public_data_needs_company_verification
POL023,Customer Care and Support Contacts,Support Contact,all_users,"Dayjoy website footer lists customer care, WhatsApp support, support email, and grievance redressal officer contact details.","For support queries, provide official support channels and avoid inventing new contact details.","Contact Dayjoy Customer Care, WhatsApp Support, support email, or grievance redressal contact listed on the official website.",Do not provide unofficial distributor phone numbers as company support.,Use official website footer/contact page.,Dayjoy official website footer/contact details,https://www.dayjoy.in/Testimonials,public_data_needs_company_verification
