product_id,product_name,brand,category,sub_category,problem_tags,benefits,ingredients,usage,who_can_use,safety_note,source_url,source_type,approved
DJ-HC-010,Aloevera With Guava Juice,Curind,Health Care,Nutrition Juice,"aloevera, guava, digestion, immunity, general wellness",Listed on official Health Care category page. Product-specific benefits require official verification.,Needs product-page verification,Use as per product label.,As per product label.,General wellness information only. Do not claim cure/treatment.,https://www.dayjoy.in/Shop/Shop/HEALTH-CARE/4,official_category_listing,needs_company_verification
DJ-HC-011,Amla Extract (60 Veg Caps),Curind,Health Care,Amla Supplement,"amla, vitamin c, immunity, antioxidant support",Listed on official Health Care category page. Product-specific benefits require official verification.,Needs product-page verification,Use as per product label.,As per product label.,General wellness information only. Do not claim cure/treatment.,https://www.dayjoy.in/Shop/Shop/HEALTH-CARE/4,official_category_listing,needs_company_verification
DJ-HC-012,Ample Meal - Nutritional Product,Curind,Health Care,Nutrition,"nutrition, meal support, general wellness",Listed on official Health Care category page. Product-specific benefits require official verification.,Needs product-page verification,Use as per product label.,As per product label.,General nutrition/wellness information only.,https://www.dayjoy.in/Shop/Shop/HEALTH-CARE/4,official_category_listing,needs_company_verification
DJ-HC-013,Apple Cider Vinegar,Curind,Health Care,Apple Cider Vinegar,"digestion, wellness, apple cider vinegar",Listed on official Health Care category page. Product-specific benefits require official verification.,Needs product-page verification,Use as per product label.,As per product label.,General wellness information only. Do not claim cure/treatment or guaranteed weight loss.,https://www.dayjoy.in/Shop/Shop/HEALTH-CARE/4,official_category_listing,needs_company_verification
DJ-HC-014,Arogya Churn (100g),Curind,Health Care,Herbal Churn,"digestion, general wellness",Listed on official Health Care category page. Product-specific benefits require official verification.,Needs product-page verification,Use as per product label.,As per product label.,General wellness information only. Do not claim cure/treatment.,https://www.dayjoy.in/Shop/Shop/HEALTH-CARE/4,official_category_listing,needs_company_verification
DJ-HC-015,Ashvagandha Extract (60 Veg Caps),Curind,Health Care,Ashwagandha Supplement,"stress support, vitality, general wellness",Listed on official Health Care category page. Product-specific benefits require official verification.,Needs product-page verification,Use as per product label.,As per product label.,General wellness information only. Do not claim cure/treatment.,https://www.dayjoy.in/Shop/Shop/HEALTH-CARE/4,official_category_listing,needs_company_verification
DJ-HC-016,Astheal Cough Syrup (100ml),Curind,Health Care,Cough Syrup,"cough support, throat comfort, respiratory wellness",Listed on official Health Care category page. Product-specific benefits require official verification.,Needs product-page verification,Use as per product label.,As per product label/physician guidance.,General wellness information only. Do not claim cure/treatment.,https://www.dayjoy.in/Shop/Shop/HEALTH-CARE/4,official_category_listing,needs_company_verification
DJ-PC-001,Aloevera Gel (100g),Wild Muse / Dayjoy,Personal Care,Skin Care Gel,"aloe vera, skin hydration, soothing, dry skin",Listed on official Personal Care page. Product-specific benefits require official verification.,Needs product-page verification,Use as per product label.,General personal care users.,Cosmetic/personal-care information only. Stop use if irritation occurs.,https://www.dayjoy.in/Shop/Shop/PERSONAL-CARE/6,official_category_listing,needs_company_verification
DJ-PC-002,Amla Reetha Shikakai Shampoo,Wild Muse / Dayjoy,Personal Care,Hair Care,"hair cleansing, amla, reetha, shikakai, scalp care",Listed on official Personal Care page. Product-specific benefits require official verification.,Needs product-page verification,Use as per product label.,General hair care users.,Avoid eye contact. Stop use if irritation occurs.,https://www.dayjoy.in/Shop/Shop/PERSONAL-CARE/6,official_category_listing,needs_company_verification
DJ-PC-003,Anti Pollution Aloevera Facewash,Wild Muse / Dayjoy,Personal Care,Face Wash,"face cleansing, pollution, aloe vera, skin care",Listed on official Personal Care page. Product-specific benefits require official verification.,Needs product-page verification,Use as per product label.,General skin care users.,Cosmetic information only. Patch test if sensitive skin.,https://www.dayjoy.in/Shop/Shop/PERSONAL-CARE/6,official_category_listing,needs_company_verification
DJ-PC-004,BR Rich Oil (200ml),Wild Muse / Dayjoy,Personal Care,Hair Oil,"hair oil, hair nourishment, scalp care",Listed on official Personal Care page. Product-specific benefits require official verification.,Needs product-page verification,Use as per product label.,General hair care users.,Avoid contact with eyes. Stop use if irritation occurs.,https://www.dayjoy.in/Shop/Shop/PERSONAL-CARE/6,official_category_listing,needs_company_verification
DJ-PC-005,Daily Care Face Cream,Wild Muse / Dayjoy,Personal Care,Face Cream,"daily skin care, moisturization, face cream",Listed on official Personal Care page. Product-specific benefits require official verification.,Needs product-page verification,Use as per product label.,General skin care users.,Cosmetic information only. Patch test if sensitive skin.,https://www.dayjoy.in/Shop/Shop/PERSONAL-CARE/6,official_category_listing,needs_company_verification
DJ-PC-006,Deep Cleansing Facewash,Wild Muse / Dayjoy,Personal Care,Face Wash,"face cleansing, oil control, skin care",Listed on official Personal Care page. Product-specific benefits require official verification.,Needs product-page verification,Use as per product label.,General skin care users.,Cosmetic information only. Avoid eye contact.,https://www.dayjoy.in/Shop/Shop/PERSONAL-CARE/6,official_category_listing,needs_company_verification
DJ-PC-007,Ecofriendly Toothbrush,Dayjoy,Personal Care,Oral Care,"oral care, toothbrush, ecofriendly",Listed on official Personal Care page. Product-specific details require official verification.,Needs product-page verification,Use as per product label.,General oral-care users.,Oral-care accessory. Replace regularly as per hygiene practices.,https://www.dayjoy.in/Shop/Shop/PERSONAL-CARE/6,official_category_listing,needs_company_verification
DJ-PC-008,Gold Facial Kit,Wild Muse / Dayjoy,Personal Care,Facial Kit,"facial, skin glow, skin care",Listed on official Personal Care page. Product-specific details require official verification.,Needs product-page verification,Use as per product label.,General skin care users.,Cosmetic information only. Patch test if sensitive skin.,https://www.dayjoy.in/Shop/Shop/PERSONAL-CARE/6,official_category_listing,needs_company_verification
DJ-PC-009,Haldi Chandan Facewash,Wild Muse / Dayjoy,Personal Care,Face Wash,"haldi, chandan, face cleansing, skin care",Listed on official Personal Care page. Product-specific details require official verification.,Needs product-page verification,Use as per product label.,General skin care users.,Cosmetic information only. Avoid eye contact.,https://www.dayjoy.in/Shop/Shop/PERSONAL-CARE/6,official_category_listing,needs_company_verification
DJ-PC-010,HerboSmile Toothpaste,Dayjoy,Personal Care,Oral Care,"toothpaste, oral care, daily hygiene",Listed on official Personal Care page. Product-specific details require official verification.,Needs product-page verification,Use as per product label.,General oral-care users.,Do not swallow. Keep away from small children unless supervised.,https://www.dayjoy.in/Shop/Shop/PERSONAL-CARE/6,official_category_listing,needs_company_verification
DJ-PC-011,Hydra Aloevera Body Lotion,Wild Muse / Dayjoy,Personal Care,Body Lotion,"body lotion, skin hydration, aloe vera, dry skin",Listed on official Personal Care page. Product-specific details require official verification.,Needs product-page verification,Use as per product label.,General skin care users.,Cosmetic information only. Stop use if irritation occurs.,https://www.dayjoy.in/Shop/Shop/PERSONAL-CARE/6,official_category_listing,needs_company_verification
DJ-PC-012,Kesham (100ml),Wild Muse / Dayjoy,Personal Care,Hair Care,"hair care, hair nourishment, scalp care",Listed on official Personal Care page. Product-specific details require official verification.,Needs product-page verification,Use as per product label.,General hair care users.,Avoid eye contact. Stop use if irritation occurs.,https://www.dayjoy.in/Shop/Shop/PERSONAL-CARE/6,official_category_listing,needs_company_verification
DJ-SC-001,Face Serum with Niacinamide,Wild Muse / Dayjoy,Skin Care,Face Serum,"niacinamide, skin care, face serum, glow, uneven skin tone",Listed on official Skin Care page. Product-specific details require official verification.,Needs product-page verification,Use as per product label.,General skin care users.,Cosmetic information only. Patch test if sensitive skin.,https://www.dayjoy.in/Shop/Shop/SKIN-CARE/22,official_category_listing,needs_company_verification
DJ-SC-002,Hydra Max Moisturizer With Hyaluronic Acid,Wild Muse / Dayjoy,Skin Care,Moisturizer,"hyaluronic acid, hydration, dry skin, moisturizer",Listed on official Skin Care page. Product-specific details require official verification.,Needs product-page verification,Use as per product label.,General skin care users.,Cosmetic information only. Patch test if sensitive skin.,https://www.dayjoy.in/Shop/Shop/SKIN-CARE/22,official_category_listing,needs_company_verification
DJ-SC-003,Sunscreen SPF 50+ PA++++,Wild Muse / Dayjoy,Skin Care,Sunscreen,"sun protection, SPF 50, daily skin care",Listed on official Skin Care page. Product-specific details require official verification.,Needs product-page verification,Use as per product label.,General skin care users.,Cosmetic information only. Reapply as per label instructions.,https://www.dayjoy.in/Shop/Shop/SKIN-CARE/22,official_category_listing,needs_company_verification
DJ-HOME-001,All in 1 Surface Cleaner (500ml),Homeshine,Home Care,Surface Cleaner,"surface cleaning, home hygiene, cleaning",Listed on official Home Care page. Product-specific details require official verification.,Needs product-page verification,Use as per product label.,Household users.,Cleaning product. Keep away from children. Avoid eye/skin contact and ingestion.,https://www.dayjoy.in/Shop/Shop/HOME-CARE/13,official_category_listing,needs_company_verification
DJ-HOME-002,Dishwash Liquid Gel (500ml),Homeshine,Home Care,Dishwash,"dish cleaning, utensils, home hygiene",Listed on official Home Care page. Product-specific details require official verification.,Needs product-page verification,Use as per product label.,Household users.,Cleaning product. Keep away from children. Avoid ingestion.,https://www.dayjoy.in/Shop/Shop/HOME-CARE/13,official_category_listing,needs_company_verification
DJ-HOME-003,Liquid Detergent (1Ltr),Homeshine,Home Care,Laundry Detergent,"laundry, clothes washing, home care",Listed on official Home Care page. Product-specific details require official verification.,Needs product-page verification,Use as per product label.,Household users.,Cleaning product. Keep away from children. Avoid eye/skin contact and ingestion.,https://www.dayjoy.in/Shop/Shop/HOME-CARE/13,official_category_listing,needs_company_verification
DJ-HOME-004,Toilet Bowl Cleaner (500ml),Homeshine,Home Care,Toilet Cleaner,"toilet cleaning, bathroom hygiene",Listed on official Home Care page. Product-specific details require official verification.,Needs product-page verification,Use as per product label.,Household users.,Cleaning product. Keep away from children. Avoid mixing with other chemicals.,https://www.dayjoy.in/Shop/Shop/HOME-CARE/13,official_category_listing,needs_company_verification
DJ-FOOD-001,Black Salt Sprinkler,Aayushmaan / Yumdum,Food Products,Seasoning,"black salt, seasoning, food taste",Listed on official Food Products page. Product-specific details require official verification.,Needs product-page verification,Use as per food usage/label.,Food product users.,Food product. Check label for allergens and dietary suitability.,https://www.dayjoy.in/Shop/Shop/FOOD-PRODUCTS/10,official_category_listing,needs_company_verification
DJ-FOOD-002,Chaat Masala (100g),Aayushmaan / Yumdum,Food Products,Spice Mix,"chaat masala, seasoning, spice",Listed on official Food Products page. Product-specific details require official verification.,Needs product-page verification,Use as per food usage/label.,Food product users.,Food product. Check label for allergens and dietary suitability.,https://www.dayjoy.in/Shop/Shop/FOOD-PRODUCTS/10,official_category_listing,needs_company_verification
DJ-FOOD-003,Daily Tea (250gm),Aayushmaan / Yumdum,Food Products,Tea,"tea, beverage, daily use",Listed on official Food Products page. Product-specific details require official verification.,Needs product-page verification,Use as per food usage/label.,Food product users.,Food product. Check label for allergens/caffeine suitability.,https://www.dayjoy.in/Shop/Shop/FOOD-PRODUCTS/10,official_category_listing,needs_company_verification
DJ-FOOD-004,Haldi Powder (200gm),Aayushmaan / Yumdum,Food Products,Spice,"haldi, turmeric, spice, cooking",Listed on official Food Products page. Product-specific details require official verification.,Needs product-page verification,Use as per food usage/label.,Food product users.,Food product. Check label for allergens and dietary suitability.,https://www.dayjoy.in/Shop/Shop/FOOD-PRODUCTS/10,official_category_listing,needs_company_verification
DJ-FOOD-005,Garam Masala (100gm),Aayushmaan / Yumdum,Food Products,Spice Mix,"garam masala, spice, cooking",Listed on official Food Products page. Product-specific details require official verification.,Needs product-page verification,Use as per food usage/label.,Food product users.,Food product. Check label for allergens and dietary suitability.,https://www.dayjoy.in/Shop/Shop/FOOD-PRODUCTS/10,official_category_listing,needs_company_verification
