objection_id,role,scenario,customer_or_distributor_objection,intent_detected,recommended_response,follow_up_question,do_not_say,safety_or_compliance_note,source,approval_status
OBJ011,Distributor,Too busy,I do not have time for this business.,time_objection,"Direct selling requires consistency, but it can be started with small daily actions like learning products, talking to interested people, and following up ethically. It should not be presented as effortless income.",How much time per day can you realistically give?,"Do not say: no work needed, automatic income.",Avoid passive-income exaggeration.,https://www.dayjoy.in/about-direct-selling-company,public_data_needs_company_verification
OBJ012,Distributor,Family objection,My family does not support direct selling.,family_trust,"Respect their concern. Share official company information, policies, product details, and realistic expectations. Do not force anyone. Trust is built with transparency and professionalism.",Would you like a polite message to explain Dayjoy to family?,Do not say family is wrong or negative.,Use respectful communication.,https://www.dayjoy.in/about-direct-selling-company,public_data_needs_company_verification
OBJ013,Customer,Need proof,Where is proof this product works?,proof_request,"The best response is to show official product information, ingredients, usage instructions, and any official certificates if available. For personal results, explain that outcomes can vary and no guaranteed result should be promised.",Which product should I fetch verified details for?,Do not promise same results for everyone.,Avoid testimonial-as-proof claims.,https://www.dayjoy.in/,public_data_needs_company_verification
OBJ014,Distributor,Refund concern,What if customer wants refund?,refund_policy,"Guide them to the official Buy Back / Exchange / Refund policy and support channel. Do not make your own refund promise. Ask them to check invoice, product condition, and official policy requirements.",Do you want a polite refund-support reply template?,Do not create unofficial refund conditions.,Use official policy only.,https://www.dayjoy.in/BuyBackExchangeRefundPolicy,public_data_needs_company_verification
OBJ015,Customer,Delivery concern,When will my product arrive?,shipping_policy,Delivery depends on location and official shipping process. Please check your order details or contact Dayjoy support. Do not rely on unofficial estimates.,Do you want the support contact format?,Do not promise exact delivery unless official tracking exists.,Use official support or tracking.,https://www.dayjoy.in/ShippingPolicy,public_data_needs_company_verification
OBJ016,Distributor,Customer says products are costly online,I found similar product cheaper online.,price_comparison,"Acknowledge it calmly. Explain that price should be compared with official product formulation, quantity, quality, authenticity, and support. Encourage buying only from official or authorized sources.",Would you like a short comparison script?,Do not attack online sellers or claim fake without proof.,Promote official verification.,https://www.dayjoy.in/,public_data_needs_company_verification
OBJ017,Distributor,Product confusion,I do not know which product to suggest.,product_matching,"First ask about the customer’s category need: health, personal care, home care, food, agriculture, or skincare. Then match only with approved product data. If it is a medical condition, do not recommend as treatment.",What category or problem did the customer mention?,Do not randomly suggest high-priced products.,Need-based product education only.,https://www.dayjoy.in/,public_data_needs_company_verification
OBJ018,Customer,Usage confusion,How should I use this product?,usage_question,"Please follow the product label or official Dayjoy instructions. If the product involves health concerns, consult a qualified professional before use.",Which product name are you asking about?,Do not invent dosage or usage routine.,Use label-based guidance only.,https://www.dayjoy.in/TermsofUse,public_data_needs_company_verification
OBJ019,Distributor,Customer says direct selling is fake,I do not believe in network marketing.,direct_selling_trust,"Respect their opinion. Explain that the focus should be on genuine product understanding, ethical selling, and official company verification. They can first try learning about products without joining.",Would you like a product-first explanation instead of business-first?,Do not argue or shame the customer.,Trust-building over persuasion.,https://www.dayjoy.in/about-direct-selling-company,public_data_needs_company_verification
OBJ020,Distributor,No results complaint,I used the product but did not get result.,result_complaint,"I understand. Results and experiences can vary. Please confirm correct usage from the label, check suitability, and contact official support or a qualified professional for health-related concerns.","Which product did you use and for how long, according to label instructions?",Do not blame customer or promise next result.,Avoid guaranteed outcome claims.,https://www.dayjoy.in/TermsofUse,public_data_needs_company_verification
OBJ021,Distributor,Social media doubt,What should I post to promote Dayjoy?,social_content,"Post educational content: product category awareness, general wellness tips, official product highlights, customer FAQs, and ethical business learning. Avoid disease cure claims, income screenshots, and exaggerated promises.",Do you want a compliant social media caption template?,Do not post fake claims or guaranteed earnings.,Follow social media policy and compliance.,https://www.dayjoy.in/SocialMediaPolicy,public_data_needs_company_verification
OBJ022,Distributor,Follow-up problem,Customer is not replying.,follow_up,"Follow up politely without pressure. Example: 'Hi, just checking if you had any questions about the product details I shared. No pressure — I am here if you need help.'",Do you want a 3-message follow-up sequence?,Do not spam or repeatedly pressure.,Respect customer consent.,https://www.dayjoy.in/about-direct-selling-company,public_data_needs_company_verification
OBJ023,Distributor,Objection to joining cost,I do not want to invest money.,joining_cost,"That is okay. First understand the products, business model, and official policies. Never join under pressure. Start only if you understand the product-based direct selling model and risks.",Would you like a low-pressure explanation of the business model?,Do not say investment is risk-free.,Be transparent about effort and risk.,https://www.dayjoy.in/about-direct-selling-company,public_data_needs_company_verification
OBJ024,Customer,Authenticity concern,How do I know product is original?,authenticity,"Buy from official Dayjoy channels or authorized distributors/franchise sources. Check packaging, invoice, and official support if unsure.",Do you want official support contact details?,Do not accuse anyone without proof.,Use official verification channels.,https://www.dayjoy.in/about-direct-selling-company,public_data_needs_company_verification
OBJ025,Distributor,New distributor fear,I am afraid to talk to people.,confidence,"Start simple: learn one product category, write a short explanation, talk to warm contacts, and ask questions instead of forcing a sale. Confidence grows through practice.",Which product category do you want to practice first?,Do not push aggressive selling tactics.,Beginner-friendly ethical training.,https://www.dayjoy.in/,public_data_needs_company_verification
OBJ026,Distributor,Customer asks exact income plan,How much will I earn if I join?,income_claim,"Income cannot be guaranteed. It depends on actual product sales, learning, customer service, effort, and compliance with official rules. Please read official income disclosure before making a decision.",Would you like a safe explanation of direct selling income factors?,Do not give fixed earning numbers.,Income disclaimer required.,https://www.dayjoy.in/IncomeDisclaimer,public_data_needs_company_verification
OBJ027,Employee,Unsupported query,AI does not have answer.,human_handoff,"I could not find verified Dayjoy information for this question. Please check official Dayjoy support, admin-approved documents, or escalate to a responsible team member.",Should I mark this as an unanswered query for admin review?,Do not guess or invent company policy.,Use human handoff.,https://www.dayjoy.in/about-direct-selling-company,public_data_needs_company_verification
OBJ028,Customer,Category confusion,Which category is right for me?,category_guidance,"Please choose the closest need: Health Care, Personal Care, Skin Care, Home Care, Food Products, Agriculture & Veterinary, Clothing, or Dayjoy Essential. I can then show approved products in that category.",Which area do you want help with?,Do not recommend without understanding need.,Need discovery before suggestion.,https://www.dayjoy.in/,public_data_needs_company_verification
OBJ029,Distributor,Customer demands discount,Can you give discount?,discount_request,Pricing and offers should follow official Dayjoy rules. Do not promise unauthorized discounts. You can explain product value and ask the customer to check official offers if available.,Would you like a value-based reply instead of discount-based selling?,Do not offer unofficial discounts.,Follow official pricing/offer policy.,https://www.dayjoy.in/,public_data_needs_company_verification
OBJ030,Distributor,Negative online comments,I saw negative comments about Dayjoy.,reputation_concern,"Acknowledge the concern calmly. Suggest checking official company documents, product pages, policies, support contacts, and speaking with authorized representatives. Avoid arguing online.",Would you like a professional trust-building reply?,Do not attack critics or make unsupported defense claims.,Use transparent verification.,https://www.dayjoy.in/about-direct-selling-company,public_data_needs_company_verification
