training_id,module,topic,objective,content,role_access,ai_use_case,do_say,avoid_saying,source_url,approval_status
DT011,Personal Branding,Distributor personal brand,Help distributors build trust without hype.,"Dayjoy public material connects direct selling with personal branding. Distributors should present themselves as helpful, knowledgeable and consistent, not as people making exaggerated promises.","distributor,admin",Generate personal branding guidance.,"Build trust by educating people, using products responsibly, and sharing approved information.","Do not fake success, fake testimonials, or overstate income.",https://www.dayjoy.in/Downloads,public_data_needs_company_verification
DT012,Daily Routine,Daily distributor activity,Create practical execution routine for distributors.,"A simple daily routine can include product learning, 3-5 genuine conversations, 2 follow-ups, one training video/article, customer feedback collection, and updating prospect notes.","distributor,admin",Generate daily plan and reminders.,"Focus on learning, ethical conversations and consistent follow-up.",Do not encourage spam messaging or fake urgency.,https://www.dayjoy.in/Blog/BlogDetails/7-Tips-to-Overcome-Fears-about-Marketing-and-sharing-your-direct-sales-business-with-others/85,mentor_created_from_public_training_theme
DT013,Prospecting,Warm market prospecting,Help distributors approach known contacts politely.,"For warm market prospecting, start with people who already know you. Ask permission to share product information. Keep the message short, specific, and respectful.","distributor,admin",Generate first outreach messages.,"Hi, I am learning about Dayjoy products. May I share something that might be useful for your requirement?",Do not repeatedly message someone who is not interested.,https://www.dayjoy.in/Blog/BlogDetails/7-Tips-to-Overcome-Fears-about-Marketing-and-sharing-your-direct-sales-business-with-others/85,mentor_created_from_public_training_theme
DT014,Follow-up,Customer follow-up method,Make follow-up professional and non-pushy.,"Follow up by asking whether the customer reviewed the information, whether they have questions, and whether they want official product details. Keep follow-up helpful, not forceful.","distributor,admin",Create follow-up message templates.,Just checking if you had any questions about the Dayjoy product information I shared.,Do not pressure the customer with fear-based statements.,https://www.dayjoy.in/Blog/BlogDetails/7-Tips-to-Overcome-Fears-about-Marketing-and-sharing-your-direct-sales-business-with-others/85,mentor_created_from_public_training_theme
DT015,Objection Handling,Customer says product is costly,Teach value-based response.,"When a customer says the product is costly, acknowledge their concern and explain value through quality, category fit, usage, and official product information. Do not argue.","distributor,admin",Generate objection handling response.,I understand. Let me explain what this product is meant for and you can decide if it fits your need and budget.,Do not insult the customer or force purchase.,https://www.dayjoy.in/Downloads,mentor_created_from_public_training_theme
DT016,Objection Handling,Customer asks if product works,Avoid guaranteed result claims.,"Explain that product experience may vary. Share official benefits, usage directions, and safety note. Encourage checking label and consulting a qualified professional for health-related concerns.","distributor,admin",Answer result/guarantee questions.,Product experience can vary. I can share official product information so you can make an informed decision.,This will definitely work for everyone.,https://www.dayjoy.in/about-direct-selling-company,mentor_compliance_rule_needs_company_legal_review
DT017,Objection Handling,Customer says they need to ask family,Respect decision process.,Support the customer by offering a simple summary they can share with family. Do not rush them.,"distributor,admin",Generate polite reply.,"Sure, take your time. I can send a short product summary if that helps your discussion.",Do not create fake urgency or pressure.,https://www.dayjoy.in/Blog/BlogDetails/7-Tips-to-Overcome-Fears-about-Marketing-and-sharing-your-direct-sales-business-with-others/85,mentor_created_from_public_training_theme
DT018,Team Training,Training new distributors,Guide leaders to onboard new team members.,"New distributors should learn company basics, product categories, safety rules, ethical selling, daily routine, follow-up process, and how to use official Dayjoy resources.","distributor,employee,admin",Create onboarding checklist.,"Start with company overview, product categories, ethical communication, and daily actions.",Do not push new distributors into making unsafe claims.,https://www.dayjoy.in/Downloads,mentor_created_from_public_training_theme
DT019,Leadership,Community leadership,Align with Dayjoy's personal branding/community positioning.,"Leadership in direct selling should be based on consistency, education, responsibility, product knowledge, and supporting team members ethically.","distributor,admin",Leadership advice in distributor mode.,"Lead by learning first, sharing approved information, and supporting your team ethically.",Do not motivate through unrealistic income or rank promises.,https://www.dayjoy.in/Downloads,mentor_created_from_public_training_theme
DT020,Social Media,Professional social media use,Help distributors post safely.,"Use social media for education, product category awareness, customer stories only if truthful and approved, and general wellness/lifestyle content. Avoid medical claims, income screenshots, and false urgency.","distributor,admin",Generate compliant social post ideas.,Share product category education and invite people to ask questions.,Do not claim cures or guaranteed earnings in posts.,https://www.linkedin.com/company/dayjoy-private-limited,mentor_created_from_public_positioning
DT021,AI Usage,How distributors should use Dayjoy AI Assistant,Train users to use the app correctly.,"Use Dayjoy AI Assistant to understand products, prepare customer explanations, create follow-up messages, check safety wording, and learn training content. Verify final claims with official company material.","distributor,employee,admin",App onboarding content.,"Use AI as a support tool, not as a replacement for official company approval.",Do not treat AI output as legal/medical/financial guarantee.,https://www.dayjoy.in/Downloads,project_specific_training_needs_company_approval
DT022,Customer Support,When to escalate to company support,Protect users when AI does not have enough verified information.,"Escalate to official support when the question involves refund, policy, product complaint, medical concern, business plan details, rank dispute, or anything not present in the approved knowledge base.","distributor,employee,admin",Human handoff logic.,"For this, please check official Dayjoy support or verified company documents.",Do not guess policy or complaint resolution.,https://www.dayjoy.in/Contact,public_data_needs_company_verification
DT023,Product Explanation,Explain product without overclaiming,Standardize safe product communication.,"Use this format: product name, category, what it is generally used for, official benefits, usage according to label, safety note, and where to verify more information.","distributor,employee,admin",Product answer format.,This product is in the [category] category and is positioned for [general use case].,"Do not add unverified ingredients, benefits, or dosage.",https://www.dayjoy.in/about-direct-selling-company,mentor_compliance_rule_needs_company_legal_review
DT024,Business Explanation,Explain direct selling simply,Help distributors describe the model clearly.,Direct selling means products are shared through independent distributors who educate customers and help them purchase products. Explain this simply and avoid comparing it negatively with jobs or other businesses.,"distributor,employee,admin",Answer direct selling basics.,"Direct selling focuses on product education, customer relationships and consistent business activity.",Do not say everyone will become rich quickly.,https://www.linkedin.com/company/dayjoy-private-limited,public_data_needs_company_verification
DT025,Content Creation,Distributor content themes,Create safe content ideas.,"Suggested content themes: product category education, daily wellness habits, home care tips, agriculture care awareness, personal growth, ethical entrepreneurship, and customer Q&A.","distributor,admin",Generate social content templates.,Educational content builds trust and avoids overpromising.,Do not post disease-cure or income-guarantee claims.,https://www.dayjoy.in/Blog/BlogDetails/7-Tips-to-Overcome-Fears-about-Marketing-and-sharing-your-direct-sales-business-with-others/85,mentor_created_from_public_training_theme
DT026,AI Safety,Approved-data-only rule,Prevent hallucination in the AI app.,"If the knowledge base does not contain a product detail, the AI must say verified information is not available and suggest checking official Dayjoy resources.","employee,admin",Core RAG system rule.,I do not have verified Dayjoy information for that detail.,Do not invent product data to satisfy the user.,https://www.dayjoy.in/about-direct-selling-company,project_specific_training_needs_company_approval
DT027,Training Hub,Suggested AI training path,Organize app learning modules for new distributors.,"Training path: Dayjoy overview, product categories, safety rules, customer conversation, objection handling, follow-up, social media basics, business compliance, leadership basics.","distributor,employee,admin",Create training hub pages.,Complete training in order before using advanced sales scripts.,Do not skip compliance and safety training.,https://www.dayjoy.in/Downloads,mentor_created_from_public_training_theme
DT028,Demo Script,How to demo Dayjoy AI Assistant,Help pitch the app to Dayjoy management.,"Demo these flows: customer product query, problem-to-category suggestion, distributor objection handling, unsafe medical query refusal, income guarantee refusal, and analytics dashboard.",admin,Pitch demo checklist.,"This AI reduces repeated questions, improves training and keeps communication safer.",Do not claim it replaces official staff or legal review.,https://www.dayjoy.in/,project_specific_training_needs_company_approval
DT029,Support Channel,Use official contact/support for unresolved issues,Connect AI to human escalation.,"For unresolved questions, the app should show official support or nearest franchise/contact path rather than guessing.","customer,distributor,employee,admin",Human handoff button logic.,Please contact official Dayjoy support for the latest verified answer.,Do not provide unofficial contact claims.,https://www.dayjoy.in/Contact,public_data_needs_company_verification
DT030,Data Governance,Company approval before final selling,Prepare project for company adoption.,"All public-data-based training rows should be reviewed by Dayjoy management before production use. Mark each row as approved, rejected, or needs edit.",admin,Admin approval workflow.,This row needs company verification before production.,Do not label public/demo data as official final approval.,https://www.dayjoy.in/,project_specific_training_needs_company_approval
